20,248570,15
20,203440,13
20,246880,13
20,193970,14
20,153630,12
20,244830,13
20,249680,14
20,244270,16
20,225480,14
20,249230,14
20,218520,15
20,249940,11
20,213880,13
20,249940,9
20,249980,13
20,224840,14
20,246830,14
20,240230,14
20,218880,15
20,248780,13
20,241980,14
20,248980,15
20,225190,12
20,243620,13
20,242870,14
20,243770,15
20,249900,10
20,205770,15
20,244580,14
20,227570,14
25,235730,14
25,239280,16
25,221620,15
25,236330,15
25,217480,15
25,249990,7
25,243780,14
25,229990,14
25,246790,12
25,239190,14
25,230970,13
25,205880,14
25,246630,15
25,248890,14
25,241930,14
25,249820,13
25,246470,16
25,247220,15
25,249330,13
25,222370,15
25,242870,15
25,247090,15
25,242230,15
25,248370,15
25,246340,13
25,242880,14
25,247380,13
25,229730,14
25,248470,14
25,239980,15
30,249870,15
30,235730,14
30,249940,12
30,248970,15
30,243120,15
30,249730,14
30,241930,15
30,249980,13
30,240220,14
30,248440,15
30,246130,14
30,194680,13
30,245380,14
30,245870,14
30,230430,14
30,244240,14
30,249940,11
30,243090,13
30,242540,11
30,243280,15
30,245740,14
30,249900,10
30,249990,10
30,243230,15
30,239370,15
30,243230,15
30,248620,16
30,241890,15
30,248770,15
30,239480,13
35,239470,15
35,228680,14
35,225980,16
35,234580,14
35,236730,15
35,209240,13
35,249930,14
35,249020,15
35,246380,14
35,249940,13
35,240380,16
35,249820,14
35,245980,15
35,242680,15
35,241870,15
35,247630,14
35,213580,13
35,247830,14
35,247240,15
35,229470,14
35,241730,14
35,249780,14
35,237230,14
35,220480,14
35,246630,15
35,249990,12
35,247020,15
35,223220,15
35,231570,15
35,249930,11
40,237830,14
40,245970,14
40,241620,15
40,240970,15
40,248120,15
40,217680,15
40,249980,8
40,249940,12
40,249930,12
40,235120,14
40,230180,13
40,223970,15
40,233980,14
40,244990,14
40,236880,14
40,235640,14
40,243870,15
40,239230,15
40,244230,14
40,248130,15
40,203780,14
40,246780,14
40,244980,15
40,249980,14
40,248190,15
40,229120,16
40,230930,15
40,225930,15
40,249930,11
40,249940,10
45,248630,15
45,242190,14
45,249940,12
45,249990,10
45,242980,15
45,248380,16
45,249870,16
45,241330,14
45,246880,14
45,249930,12
45,229970,12
45,230020,16
45,249990,12
45,248570,14
45,246370,15
45,249940,11
45,246590,14
45,249980,14
45,232380,14
45,247580,14
45,248370,15
45,248370,15
45,242190,15
45,249230,14
45,248840,15
45,249980,15
45,246970,13
45,248770,15
45,248580,16
45,238840,15
50,249950,11
50,249930,10
50,249980,13
50,238190,15
50,249950,9
50,210480,15
50,230470,16
50,248480,14
50,244470,15
50,249980,12
50,191190,15
50,249970,13
50,249970,14
50,231470,15
50,247480,16
50,246980,16
50,249680,14
